# Rime user dictionary
#@/db_name	FlyDP.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	102671
#@/user_id	Dell5370_Win
a 	啊	c=156 d=1.4796 t=102671
ni na bian 	你那边	c=1 d=1.77045e-132 t=102671
ni shi 	你是	c=2 d=3.72665e-06 t=102671
ni shi liu 	泥石流	c=1 d=5.10859e-99 t=102671
ni shi shuo 	你是说	c=1 d=1.46418e-74 t=102671
ni shi zhen 	逆时针	c=1 d=1 t=83503
ni shuo 	你说	c=1 d=1 t=79438
ni xiang 	逆向	c=1 d=6.97157e-51 t=102671
ni xing 	逆行	c=1 d=2.8175e-10 t=102671
ni yao bu yao 	你要不要	c=1 d=1.57356e-98 t=102671
ni zhuang 	泥状	c=1 d=5.97728e-123 t=102671
nian 	年	c=89 d=0.628135 t=102671
nian 	念	c=1 d=3.96021e-74 t=102671
nian chu 	年初	c=3 d=1.52476e-51 t=102671
nian di 	年底	c=7 d=3.90948e-40 t=102671
nian du 	年度	c=4 d=1.01753e-28 t=102671
nian du 	黏度	c=7 d=1.06828e-41 t=102671
nian fei 	年费	c=334 d=0.755784 t=102671
nian fu 	黏附	c=19 d=4.91116e-45 t=102671
nian hui 	年会	c=1 d=3.35362e-118 t=102671
nian lian 	粘連	c=1 d=3.46917e-46 t=102671
nian ling 	年龄	c=3 d=1.20574e-34 t=102671
nian nei 	年内	c=1 d=1.08961e-39 t=102671
nian nian 	年年	c=1 d=1 t=101654
nian qing 	年轻	c=1 d=1.07548e-150 t=102671
nian xian 	年限	c=5 d=1.44174e-10 t=102671
nian xiang 	念想	c=1 d=2.79517e-34 t=102671
nian xing 	黏性	c=5 d=1.26091e-45 t=102671
niao 	鸟	c=2 d=9.65555e-80 t=102671
niao chao 	鸟巢	c=1 d=2.45576e-11 t=102671
niao dao 	尿道	c=16 d=3.3583 t=97718
niao niao 	尿尿	c=0 d=1.60659e-20 t=102671
niao ye 	尿液	c=6 d=3.87107 t=97425
nik men 	呢门	c=2 d=0.00012909 t=102671
nin 	您	c=194 d=0.912945 t=102671
nin 	拰	c=2 d=2.83773e-144 t=102671
nin hao 	您好	c=12 d=1.34752e-09 t=102671
nin niao niao bnn 	您尿尿婊	c=1 d=1.61465e-19 t=102671
nin shuo 	您说	c=1 d=0.000536738 t=102671
nio men 	睨门	c=1 d=1.69593e-38 t=102671
niu 	牛	c=3 d=3.4674e-40 t=102671
niu bi 	牛逼	c=1 d=1.35433e-127 t=102671
niu dong 	扭动	c=1 d=0.00477195 t=102671
niu ju 	扭矩	c=5 d=1.88048 t=87051
niu niu niu 	牛牛牛	c=1 d=8.87827e-13 t=102671
niu qu 	扭曲	c=1 d=1 t=86850
niu zhuan 	扭转	c=3 d=1.83946 t=95754
nji 	蝻	c=1 d=1.72961e-34 t=102671
nmi 	辗	c=1 d=3.15316e-40 t=102671
nmi men 	辗门	c=1 d=1 t=79614
nmm 	粘	c=1 d=1.07357e-41 t=102671
nmm mmmj 	粘棉	c=1 d=1.62274e-19 t=102671
nnu 	尿	c=1 d=0.886628 t=96835
nnu dao guan 	尿导管	c=1 d=1 t=96836
nong 	弄	c=35 d=0.000583903 t=102671
nong cheng 	弄成	c=2 d=1.24155e-16 t=102671
nong cun 	农村	c=2 d=0.00821708 t=102671
nong dao 	弄到	c=1 d=2.02268e-52 t=102671
nong dian 	弄点	c=1 d=5.53502e-101 t=102671
nong du 	浓度	c=2 d=5.95594e-14 t=102671
nong ge 	弄个	c=2 d=0.0485578 t=102671
nong hao 	弄好	c=6 d=8.79441e-19 t=102671
nong kuai 	農會	c=1 d=1 t=85431
nong ming bai 	弄明白	c=1 d=1 t=94462
nong qing chu 	弄清楚	c=1 d=1 t=79120
nong sha 	弄啥	c=1 d=1 t=95335
nong wan 	弄完	c=2 d=3.61578e-33 t=102671
nong wan 	弄弯	c=1 d=1.03102e-124 t=102671
nong yi xia 	弄一下	c=2 d=1.58937e-98 t=102671
npk; her; 	啮合	c=8 d=0.0130029 t=102671
nu li 	努力	c=1 d=1.05195e-37 t=102671
nu qian 	驽铅	c=1 d=0.00386807 t=102671
nuo 	诺	c=1 d=1.12716e-114 t=102671
nuo biuy; ihoo 	诺璧昌	c=1 d=1.23272e-79 t=102671
nuo ji ya 	诺基亚	c=1 d=1.82952e-77 t=102671
nv 	女	c=6 d=0.882497 t=102671
o 	哦	c=254 d=2.35836 t=102671
ofjt 	←	c=10 d=2.09836e-132 t=102671
ofjt 	↑	c=3 d=7.11098e-133 t=102671
ofjt 	→	c=4 d=8.20768e-133 t=102671
ofjt 	↓	c=5 d=9.63545e-133 t=102671
ofjt 	↖	c=2 d=2.11587e-133 t=102671
ofjt 	↘	c=1 d=1.09836e-133 t=102671
ofxx 	π	c=2 d=7.07561e-127 t=102671
ou er 	偶尔	c=1 d=1.70114e-74 t=102671
ou shi 	欧式	c=0 d=2.61153e-59 t=102671
ou zhou bei 	欧洲杯	c=16 d=2.32435e-05 t=102671
oukr 	欧	c=7 d=2.07049e-80 t=102671
pa 	怕	c=13 d=3.66169e-05 t=102671
pa 	爬	c=1 d=1 t=79492
pa 	趴	c=1 d=9.85288e-150 t=102671
pa shi 	怕是	c=1 d=5.57829e-75 t=102671
pa wo 	趴窝	c=1 d=1.57822e-74 t=102671
pai 	拍	c=12 d=0.491644 t=102671
pai ban 	排版	c=1 d=1.96357e-56 t=102671
pai bu 	排布	c=3 d=9.01864e-09 t=102671
pai chu 	拍出	c=1 d=5.44113e-135 t=102671
pai chu 	排出	c=4 d=0.0349094 t=102671
pai chu lai 	拍出来	c=2 d=5.90813e-45 t=102671
pai dui 	排队	c=1 d=2.62113e-13 t=102671
pai fang 	排放	c=1 d=0.506617 t=102671
pai lie 	排列	c=2 d=6.03242e-84 t=102671
pai niao 	排尿	c=0 d=0.150916 t=97033
pai niao drl 	排尿端	c=2 d=1.53259 t=97025
pai niao kou 	排尿口	c=4 d=2.31827 t=97421
pai pian 	拍片	c=2 d=4.68395e-98 t=102671
pai shi pin 	拍视频	c=1 d=1.6185e-47 t=102671
pai shui kou 	排水口	c=3 d=0.131973 t=102671
pai xi 	拍戏	c=1 d=2.17297e-101 t=102671
pai xu 	排序	c=6 d=6.40368e-22 t=102671
pai zai 	排在	c=1 d=9.15273e-77 t=102671
pai zhao 	拍照	c=12 d=0.000642592 t=102671
pan 	盘	c=3 d=1.0839e-29 t=102671
pan bie 	判别	c=2 d=5.47495e-23 t=102671
pan ding 	判定	c=5 d=7.03352e-23 t=102671
pan duan 	判断	c=12 d=0.0761538 t=102671
pan guan 	盘管	c=33 d=7.97618 t=96772
pan rao 	盘绕	c=1 d=1 t=95738
pan shan 	盘山	c=1 d=6.58193e-139 t=102671
pang bian 	旁边	c=2 d=1.67982e-14 t=102671
pang guang 	膀胱	c=4 d=2.00199 t=97483
pang lu 	旁路	c=0 d=0.1 t=90330
pang lu you 	旁路有	c=2 d=1.90032 t=90352
pao 	跑	c=12 d=7.01981e-13 t=102671
pao bu 	跑步	c=2 d=2.36242e-98 t=102671
pao bu dong 	跑不动	c=2 d=1.92312 t=94782
pao lu 	跑路	c=1 d=6.98627e-17 t=102671
pao zhang 	炮仗	c=1 d=1 t=87821
pav; gjm 	爬杆	c=1 d=5.70085e-66 t=102671
pcb 	疱	c=1 d=0.869358 t=102671
pcb vgbv 	疱症	c=1 d=0.873716 t=102671
pdf 	排	c=7 d=1.69743e-19 t=102671
pei 	配	c=3 d=1.70003e-37 t=102671
pei chang 	赔偿	c=1 d=2.5285e-119 t=102671
pei dian wang 	配电网	c=3 d=0.0301974 t=102671
pei dui 	配对	c=23 d=1.06257e-42 t=102671
pei fang 	配方	c=1 d=0.0968105 t=102671
pei he 	配合	c=49 d=0.134016 t=102671
pei se 	配色	c=7 d=0.19952 t=102671
pei tao 	配套	c=4 d=7.08442e-26 t=102671
pei tu 	配图	c=1 d=6.43755e-84 t=102671
pei xun 	培训	c=7 d=0.000188718 t=102671
pei xun ban 	培训班	c=1 d=4.86027e-101 t=102671
pei zhi 	配置	c=22 d=0.0187793 t=102671
pen 	盆	c=1 d=1 t=94788
pen chu 	喷出	c=1 d=4.54018e-123 t=102671
pen dao 	喷到	c=2 d=1.72221e-13 t=102671
pen ivk 	喷吹	c=6 d=2.71611e-114 t=102671
pen ivk fam 	喷吹阀	c=2 d=1.20394e-114 t=102671
pen jiao 	喷胶	c=5 d=2.0695e-07 t=102671
pen jiao qiang 	喷胶枪	c=4 d=3.54087e-07 t=102671
pen lin 	喷淋	c=2 d=2.08589e-148 t=102671
pen tu 	喷涂	c=3 d=2.22706e-08 t=102671
peng dao 	碰到	c=9 d=1.88498e-09 t=102671
peng shang 	碰上	c=1 d=3.09714e-35 t=102671
peng you 	朋友	c=9 d=0.000880518 t=102671
peng you quan 	朋友圈	c=2 d=7.3808e-75 t=102671
peng zhang 	膨胀	c=15 d=1.24044 t=102671
peng zhang hou 	膨胀后	c=1 d=1 t=97137
peng zhang tao 	膨胀套	c=36 d=7.0693e-57 t=102671
pgu 	彭	c=1 d=1 t=84236
pgu 	碰	c=1 d=1 t=79848
pguo; sry 	硼酸	c=4 d=9.6452e-81 t=102671
phw 	旁	c=1 d=3.98723e-07 t=102671
pi 	皮	c=1 d=6.49851e-136 t=102671
pi dai 	皮带	c=16 d=6.61822e-108 t=102671
pi dai biao mian 	皮带表面	c=1 d=1.23268e-108 t=102671
pi fu 	皮肤	c=2 d=1.06531e-09 t=102671
pi ge 	皮革	c=55 d=0.0449678 t=102671
pi lao 	疲劳	c=1 d=3.70759e-122 t=102671
pi liang 	批量	c=14 d=1.51987e-13 t=102671
pi lou 	纰漏	c=1 d=3.24421e-22 t=102671
pi pan 	批判	c=1 d=1.02463e-139 t=102671
pi pei 	匹配	c=27 d=0.13068 t=102671
pi ping 	批评	c=1 d=1.23903e-139 t=102671
pi zhu 	批注	c=4 d=0.514274 t=102671
pian 	片	c=14 d=1.88614e-08 t=102671
pian cha 	偏差	c=1 d=2.44195e-121 t=102671
pian wo 	骗我	c=1 d=5.40992e-38 t=102671
pian xiao 	偏小	c=1 d=1.20601e-86 t=102671
pian xie 	偏斜	c=1 d=1 t=82272
pian xin 	偏心	c=4 d=8.86109e-49 t=102671
pian xin lun 	偏心轮	c=11 d=1.68309e-59 t=102671
pian yi 	便宜	c=2 d=2.2502e-12 t=102671
pian yi 	偏移	c=3 d=2.22781e-12 t=102671
pian zhuan 	偏转	c=3 d=3.67427e-59 t=102671
piao 	瞟	c=2 d=4.83737e-126 t=102671
piao 	票	c=43 d=0.0109279 t=102671
piao fu 	漂浮	c=3 d=7.3076e-46 t=102671
piao ke 	嫖客	c=1 d=7.16069e-13 t=102671
pif 	批	c=2 d=3.80764e-53 t=102671
pin 	品	c=6 d=7.07914e-06 t=102671
pin dao 	频道	c=1 d=4.29575e-119 t=102671
pin du 	频度	c=1 d=1.21697e-16 t=102671
pin duo duo 	拼多多	c=2 d=4.65764e-100 t=102671
pin fan 	频繁	c=1 d=1 t=90627
pin lei 	品类	c=1 d=1 t=91678
pin lv 	频率	c=18 d=5.47279e-72 t=102671
pin pai 	品牌	c=1 d=1.00334e-98 t=102671
pin wei 	品味	c=1 d=1 t=94620
pin yin 	拼音	c=2 d=1.44229e-132 t=102671
pin zhi 	品质	c=2 d=7.12232e-38 t=102671
pin zhuang 	拼装	c=1 d=4.04116e-18 t=102671
ping 	平	c=3 d=0.18452 t=102671
ping ban 	平板	c=3 d=8.64112e-18 t=102671
ping bi 	屏蔽	c=31 d=1.2782e-22 t=102671
ping bi men 	屏蔽门	c=14 d=4.81096e-23 t=102671
ping bi tong dao 	屏蔽通道	c=2 d=1.45609e-23 t=102671
ping bi zhao 	屏蔽罩	c=3 d=2.57301e-24 t=102671
ping deng 	平等	c=2 d=9.58278e-29 t=102671
ping fen 	评分	c=1 d=2.15692e-102 t=102671
ping gu 	评估	c=8 d=1.68432e-16 t=102671
ping guo 	苹果	c=6 d=0.970446 t=102671
ping heng 	平衡	c=3 d=0.0118551 t=102671
ping hua 	平滑	c=11 d=1.63308e-11 t=102671
ping jia 	评价	c=5 d=8.85145e-49 t=102671
ping jia bao gao 	评价报告	c=1 d=1 t=98483
ping jing 	平静	c=1 d=1.01429e-108 t=102671
ping jun 	平均	c=2 d=0.00353515 t=102671
ping lu 	平路	c=2 d=0.00477195 t=102671
ping mian 	平面	c=10 d=0.189191 t=102671
ping mu 	屏幕	c=20 d=8.01216e-08 t=102671
ping pan 	评判	c=3 d=1.52174e-25 t=102671
ping ping an an 	平平安安	c=2 d=6.19833e-13 t=102671
ping shen 	评审	c=1 d=1 t=93502
ping shi 	平时	c=3 d=0.0645703 t=102671
ping shu 	评述	c=3 d=1.91851 t=87702
ping tai 	平台	c=10 d=7.71839e-13 t=102671
ping tan 	平坦	c=1 d=2.78493e-79 t=102671
ping wen 	平稳	c=3 d=1.43171 t=102474
ping xing 	平行	c=22 d=0.0153752 t=102671
ping yi 	平移	c=1 d=1.32354e-33 t=102671
ping zheng 	平整	c=4 d=4.82996e-17 t=102671
ping zhi cheng 	评职称	c=1 d=1.16865e-10 t=102671
pkc 	萍	c=2 d=1.41566e-49 t=102671
pku 	屏	c=1 d=1 t=95480
pky 	评	c=10 d=5.25092e-40 t=102671
pmm 	骗	c=5 d=3.88006e-10 t=102671
po 	破	c=0 d=0.1 t=95193
po chuang qi 	破窗器	c=1 d=1 t=101626
po fu 	泼妇	c=1 d=0.909373 t=102671
po huai 	破坏	c=4 d=1.67854e-05 t=102671
po jie 	破解	c=7 d=2.09863e-30 t=102671
po jie ban 	破解版	c=2 d=8.98124e-31 t=102671
po lie 	破裂	c=1 d=4.17021e-123 t=102671
po sun 	破损	c=6 d=2.68468e-114 t=102671
po sun chu 	破损处	c=1 d=5.54161e-115 t=102671
pou mian 	剖面	c=4 d=1.50626e-25 t=102671
pou mian xms 	剖面线	c=1 d=5.19232e-55 t=102671
pou shi 	剖视	c=6 d=2.49017e-57 t=102671
pu 	普	c=5 d=0.00450741 t=102671
pu bian 	普遍	c=1 d=1.40548e-122 t=102671
pu ji lv 	普及率	c=1 d=2.00119e-44 t=102671
pu piao 	扑票	c=1 d=1 t=101433
pu she 	铺设	c=13 d=0.239309 t=102671
pu tao ya 	葡萄牙	c=1 d=1 t=83104
pu tong 	普通	c=9 d=6.25215e-05 t=102671
pu tong he huo 	普通合伙	c=2 d=0.918512 t=102671
pu tong jmr 	普通件	c=2 d=1.03274e-26 t=102671
pu tong ren 	普通人	c=2 d=1.01851e-98 t=102671
pu tu 	谱图	c=0 d=0.1 t=88922
puc 	蒲	c=2 d=9.51877e-09 t=102671
pwk 	赔	c=1 d=6.87523e-05 t=102671
qbf 	秦	c=1 d=5.12755e-25 t=102671
qbw 	琴	c=1 d=1 t=88406
qi 	其	c=23 d=1.12535e-07 t=102671
qi cai 	器材	c=1 d=3.59067e-98 t=102671
qi chang 	气场	c=1 d=1.83002e-139 t=102671
qi che 	汽车	c=35 d=0.000370744 t=102671
qi chuang 	起床	c=1 d=8.13295e-99 t=102671
qi ci 	其次	c=3 d=1.90923e-20 t=102671
qi dai 	期待	c=3 d=8.98277e-33 t=102671
qi dao 	气道	c=9 d=5.42284e-11 t=102671
qi diao 	起吊	c=1 d=1.29086e-33 t=102671
qi dong 	启动	c=13 d=0.00112648 t=102671
qi dong 	气动	c=6 d=2.31599e-05 t=102671
qi fa 	气阀	c=1 d=1 t=97746
qi gang 	气缸	c=15 d=0.0132999 t=102671
qi guan 	器官	c=1 d=1.21949e-11 t=102671
qi guan 	气管	c=17 d=1.01498e-10 t=102671
qi jia 	气价	c=11 d=7.56865e-28 t=102671
qi jian 	期间	c=3 d=8.74906e-17 t=102671
qi kan 	期刊	c=3 d=1.73673e-71 t=102671
qi kong 	气孔	c=1 d=4.23684e-133 t=102671
qi lai 	起来	c=7 d=0.283654 t=102671
qi liu 	气流	c=2 d=8.16789e-120 t=102671
qi ma 	起码	c=8 d=6.71794e-09 t=102671
qi ming 	启明	c=1 d=2.9835e-07 t=102671
qi nang 	气囊	c=45 d=2.39491e-10 t=102671
qi nang chu kou 	气囊出口	c=1 d=5.85096e-107 t=102671
qi nei 	期内	c=0 d=1.47287e-27 t=102671
qi ping 	齐平	c=1 d=1 t=90911
qi quan 	齐全	c=3 d=6.62533e-30 t=102671
qi shi 	其实	c=16 d=0.798427 t=102671
qi shi 	启示	c=39 d=0.7945 t=102671
qi shi 	歧视	c=1 d=1 t=88199
qi shi dian 	起始点	c=4 d=1.65842e-127 t=102671
qi su 	起诉	c=4 d=1.6469e-13 t=102671
qi ta 	其他	c=106 d=1.08591 t=102671
qi ta ren 	其他人	c=5 d=3.06006e-11 t=102671
qi ta shi qing 	其它事情	c=1 d=1 t=94922
qi te 	奇特	c=0 d=0.000923273 t=102671
qi te zheng 	其特征	c=1 d=0.000927901 t=102671
qi te zheng zai yu 	其特征在于	c=44 d=0.357763 t=102671
qi te zheng zai yu 	奇特正在于	c=1 d=0.00927901 t=102671
qi ti 	气体	c=29 d=5.80262e-11 t=102671
qi tuan 	气团	c=0 d=4.73655e-34 t=102671
qi tuan a 	气团啊	c=1 d=4.76029e-33 t=102671
qi xian 	期限	c=3 d=6.09778e-05 t=102671
qi xie 	器械	c=2 d=2.25943e-98 t=102671
qi xin xie li 	齐心协力	c=1 d=1 t=101220
qi xing 	骑行	c=1 d=1 t=79210
qi ya 	气压	c=5 d=1.66628e-114 t=102671
qi ye 	企业	c=8 d=5.27402e-35 t=102671
qi yi 	歧义	c=1 d=1.51242e-73 t=102671
qi zheng 	齐整	c=2 d=1.84789 t=88089
qi zhong 	其中	c=31 d=0.915375 t=102671
qian 	前	c=49 d=6.42767e-05 t=102671
qian 	钱	c=6 d=1.66286e-71 t=102671
qian ban zhou 	前半轴	c=8 d=6.17712e-143 t=102671
qian biao ban 	前表板	c=5 d=2.57681e-106 t=102671
qian bu 	前部	c=1 d=3.17912e-107 t=102671
qian ce ban 	前侧板	c=3 d=1.20246e-106 t=102671
qian ding 	签订	c=7 d=5.34334e-10 t=102671
qian duan 	前段	c=2 d=1 t=96821
qian duan 	前端	c=4 d=2.02675 t=97716
qian duan shi jian 	前段时间	c=1 d=7.59062e-140 t=102671
qian fang 	前方	c=3 d=2.47566e-14 t=102671
qian hou 	前后	c=2 d=0.379083 t=102671
qian ji ge 	前几个	c=0 d=6.87223e-89 t=102671
qian ji ge yue 	前几个月	c=1 d=6.90667e-88 t=102671
qian ji tian 	前几天	c=1 d=8.53305e-17 t=102671
qian jin 	前进	c=1 d=9.98818e-134 t=102671
qian jing 	前景	c=3 d=1.68605e-140 t=102671
qian jiu 	前就	c=1 d=3.17081e-135 t=102671
qian jiu 	迁就	c=1 d=3.18671e-135 t=102671
qian li 	前例	c=1 d=7.84121e-81 t=102671
qian lv ji qiong 	黔驴技穷	c=1 d=6.44392e-125 t=102671
qian mian 	前面	c=16 d=0.198891 t=102671
qian pai 	前排	c=3 d=1.47891e-106 t=102671
qian qi 	前期	c=5 d=6.20344e-09 t=102671
qian ru 	嵌入	c=3 d=2.59765e-07 t=102671
qian shou 	牵手	c=1 d=1.06557e-100 t=102671
qian shou 	签收	c=1 d=1.07091e-100 t=102671
qian ti 	前提	c=2 d=4.51091e-47 t=102671
qian tian 	前天	c=4 d=2.69444e-14 t=102671
qian tu 	前途	c=1 d=0.00286554 t=102671
qian wan 	千万	c=1 d=2.75496e-40 t=102671
qian xu 	前序	c=2 d=1.92774 t=93159
qian you 	前有	c=0 d=0.0138069 t=102671
qian zhang 	签章	c=31 d=4.83655e-14 t=102671
qian zi 	签字	c=11 d=0.324652 t=102671
qiang 	强	c=6 d=7.55921e-19 t=102671
qiang 	枪	c=2 d=8.50989e-08 t=102671
qiang bi 	墙壁	c=3 d=0.458538 t=102671
qiang da 	强大	c=10 d=7.04564e-18 t=102671
qiang diao 	强调	c=2 d=0.153355 t=102671
qiang du 	强度	c=14 d=6.97223e-06 t=102671
qiang du da 	强度大	c=1 d=9.56648e-09 t=102671
qiang dui 	强队	c=1 d=2.09879e-16 t=102671
qiang long bu ya di tou she 	强龙不压地头蛇	c=1 d=0.946485 t=102671
qiang ri ycq 	强日猺	c=1 d=5.43593e-65 t=102671
qiang shang 	墙上	c=4 d=0.0160829 t=102671
qiang xing 	强行	c=1 d=5.18282e-151 t=102671
qiang ying 	强硬	c=1 d=3.62452e-32 t=102671
qiang zhi 	强制	c=5 d=1.48076e-30 t=102671
qiang zhi xing 	强制性	c=2 d=1.31576e-70 t=102671
qiao gang 	撬杠	c=3 d=1.01508 t=86936
qiao ji 	敲击	c=1 d=1.18523e-58 t=102671
qiao miao 	巧妙	c=13 d=2.17793e-09 t=102671
qiao qi 	翘起	c=4 d=4.57534e-08 t=102671
qiao ru 	敲入	c=4 d=9.13256e-58 t=102671
qiao shou yi dai 	翘首以待	c=1 d=1.30872e-77 t=102671
qid 	柒	c=1 d=6.06718e-34 t=102671
qidu; 	漆	c=1 d=3.40742e-71 t=102671
qie 	且	c=141 d=0.511914 t=102671
qie ge 	切割	c=5 d=1.20492e-21 t=102671
qie huan 	切换	c=12 d=6.62868e-08 t=102671
qie kou 	切口	c=9 d=6.7768 t=99749
qie pian 	切片	c=0 d=0.1 t=79802
qie pian qik 	切片器	c=1 d=1 t=79803
qie xian 	切线	c=2 d=1.00197 t=96637
qie xiang 	切向	c=6 d=1.89281e-13 t=102671
qie xiao 	切削	c=5 d=5.29705e-09 t=102671
qie xie 	切屑	c=18 d=2.217 t=99571
qih 	启	c=2 d=4.76272e-39 t=102671
qih tgo 	启腾	c=6 d=1.87763e-21 t=102671
qih; erdx; 	启尔	c=1 d=2.21649e-99 t=102671
qijbddma 	91500108MA60AYT93J	c=5 d=0.192179 t=102671
qijbddma 	社会统一信用代码：91500108MA60AYT93J	c=-6 d=2.32268e-32 t=102671
qijbdivi 	重庆市南岸区御泰路8号2幢6-9	c=8 d=0.0972957 t=102671
qijbkdhuhh 	开户银行：哈尔滨银行股份有限公司重庆巴南支行	c=1 d=0.0963276 t=102671
qijbvhhc 	银行账号：18010000001353592	c=1 d=0.0958472 t=102671
qijbzihc 	重庆企进专利代理事务所（普通合伙）	c=108 d=0.453065 t=102671
qik 	器	c=13 d=5.6445e-08 t=102671
qin ai 	亲爱	c=1 d=3.38006e-34 t=102671
qin er zi 	亲儿子	c=1 d=1.36919e-79 t=102671
qin quan 	侵权	c=4 d=2.50116e-28 t=102671
qin zi 	亲自	c=1 d=7.09185e-17 t=102671
qing 	请	c=16 d=1.59283e-06 t=102671
qing bu chong 	请补充	c=1 d=4.39252e-87 t=102671
qing cha shou 	请查收	c=1 d=2.12083e-80 t=102671
qing chu 	清楚	c=12 d=0.138761 t=102671
qing chu 	清除	c=2 d=1.02796e-122 t=102671
qing dan 	清单	c=22 d=2.06186e-13 t=102671
qing dao 	倾倒	c=1 d=0.00625109 t=102671
qing fan 	倾翻	c=1 d=1 t=89574
qing fu 	倾覆	c=1 d=1 t=101872
qing gui 	轻轨	c=6 d=0.690734 t=102671
qing jia dang chan 	倾家荡产	c=1 d=4.10044e-101 t=102671
qing jiao 	请教	c=19 d=1.73833e-05 t=102671
qing jiao yi xia 	请教一下	c=4 d=6.68113e-21 t=102671
qing jie 	清洁	c=3 d=1.36435e-08 t=102671
qing jing 	情景	c=7 d=1.55047e-29 t=102671
qing kuan 	请款	c=5 d=4.57363e-33 t=102671
qing kuang 	情况	c=45 d=0.070688 t=102671
qing li 	清理	c=23 d=4.21086e-09 t=102671
qing liang hua 	轻量化	c=1 d=1.31197e-18 t=102671
qing neng yuan 	氢能源	c=9 d=0.129759 t=102671
qing nian 	青年	c=5 d=0.017249 t=102671
qing nin 	请您	c=1 d=4.77474e-98 t=102671
qing qi 	氢气	c=9 d=7.73929e-14 t=102671
qing qiu 	请求	c=17 d=0.38868 t=102671
qing qiu ren 	请求人	c=1 d=9.50652e-82 t=102671
qing qiu shu 	請求權	c=-1 d=6.58123e-79 t=102671
qing qiu shu 	请求书	c=1 d=6.61422e-79 t=102671
qing sao 	清扫	c=1 d=1 t=98678
qing shan 	青山	c=2 d=5.90414e-117 t=102671
qing song 	轻松	c=1 d=0.229925 t=102671
qing wen 	请问	c=16 d=0.00104094 t=102671
qing wen yi xia 	请问一下	c=2 d=1.65924e-16 t=102671
qing wo 	请我	c=1 d=1.93086e-123 t=102671
qing xi 	清晰	c=2 d=1.05629e-56 t=102671
qing xi 	清洗	c=2 d=2.12123e-101 t=102671
qing xie 	倾斜	c=18 d=3.53914e-08 t=102671
qing xie mian 	倾斜面	c=1 d=1 t=98976
qing yi 	轻易	c=1 d=4.62338e-72 t=102671
qing zhu 	庆祝	c=1 d=3.21435e-119 t=102671
qing zhu yi 	请注意	c=1 d=7.30689e-133 t=102671
qiong 	穷	c=2 d=6.64511e-75 t=102671
qiong ren 	穷人	c=1 d=1.85768e-139 t=102671
qip 	气	c=16 d=0.282239 t=102671
qiq 	其	c=3 d=8.13897e-41 t=102671
qiq 	期	c=1 d=1 t=84803
qir 	企	c=0 d=0.0904837 t=102671
qir jin 	企进	c=5 d=1.47057 t=102671
qir; jbzj; 	企进	c=37 d=2.40838e-05 t=102671
qir; jbzj; zhuan li 	企进专利	c=2 d=1.38662e-22 t=102671
qit 	圻	c=1 d=0.00193045 t=102671
qit 	起	c=12 d=8.27663e-11 t=102671
qit bu dao 	起不到	c=1 d=1.27741e-145 t=102671
qit te zheng zai yu 	起特征在于	c=1 d=2.12915e-126 t=102671
qiu 	球	c=3 d=0.856415 t=102671
qiu chang 	球场	c=1 d=1.13624e-32 t=102671
qiu dao yu 	秋刀鱼	c=1 d=1 t=87833
qiu dong 	秋冬	c=1 d=1.64162e-08 t=102671
qiu dui 	球队	c=1 d=5.08761e-80 t=102671
qiu ge 	求个	c=1 d=3.47519e-37 t=102671
qiu he 	求和	c=2 d=8.57624e-37 t=102671
qiu jiao 	求教	c=1 d=1.0201e-87 t=102671
qiu jie 	求解	c=9 d=1.27238e-27 t=102671
qiu kui 	秋葵	c=1 d=1.23075e-119 t=102671
qiu men 	球门	c=1 d=1.11113e-122 t=102671
qiu mi 	球迷	c=3 d=7.15947e-11 t=102671
qiu nang 	球囊	c=14 d=4.87022 t=97791
qiu qu 	求取	c=1 d=8.96691e-71 t=102671
qiu tou 	球头	c=27 d=8.5992e-49 t=102671
qiu xing 	球形	c=5 d=1.61393e-11 t=102671
qiu yuan 	球员	c=2 d=1.10818e-32 t=102671
qiu zhuang 	球状	c=2 d=0.207008 t=102671
qiv 	歧	c=1 d=4.90578e-93 t=102671
qiwx 	戚	c=2 d=1.2541e-79 t=102671
qkd; hvu 	清灰	c=11 d=9.85369e-115 t=102671
qkf 	青	c=1 d=3.77771e-19 t=102671
qkh; 	黥	c=1 d=6.31632e-125 t=102671
qkq 	氢	c=9 d=8.69654e-05 t=102671
qlf 	抢	c=6 d=2.20569e-13 t=102671
qlg 	强	c=4 d=6.19099e-07 t=102671
qlo 	腔	c=2 d=1.04577e-134 t=102671
qlt 	墙	c=3 d=0.618783 t=102671
qmb 	前	c=1 d=2.63483e-133 t=102671
qmj 	钱	c=41 d=1.49394 t=102671
qmjg; 	钳	c=1 d=1.01709e-111 t=102671
qmm 	杄	c=1 d=5.67628e-74 t=102671
qmr 	仟	c=4 d=2.60715e-33 t=102671
qmv 	签	c=17 d=0.308819 t=102671
qmv le 	签了	c=1 d=1 t=98269
qna 	翘	c=1 d=1.56039e-58 t=102671
qnrl; ghd 	侨港	c=1 d=4.84953e-75 t=102671
qnw 	敲	c=3 d=1.21991e-15 t=102671
qqh 	秋	c=1 d=3.3138e-07 t=102671
qqm 	糗	c=1 d=6.63656e-148 t=102671
qqq 	邱	c=0 d=0.1 t=89652
